SNAME,SUBNATIONS_SRANKS
Agrostis scabra,"AK(SNR), AL(SNR), AR(SNR), AZ(SNR), CA(SNR), CO(SNR), CT(SNR), DE(SNR), GA(SU), GS(P2), IA(SNR), ID(SNR), IL(S3S4), IN(SNR), LA(SNR), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(S3), MT(S4S5), NC(SNR), ND(SNR), NE(SNR), NH(SNR), NJ(S5), NM(SNR), NN(SNR), NV(SNR), OH(SNR), OR(SNR), PA(SNR), RI(SNR), SC(SNR), SD(SNR), TN(SNR), TX(SNR), UT(SNR), VA(S3?), VT(SNR), WA(SNR), WI(SNR), WV(S4), WY(S5), MXSO(SNR), AB(S5), BC(S5), LB(S3S5), MB(S5), NB(S5), NF(S3S5), NS(S5), NT(SNR), NU(SNR), ON(S5), PE(S5), QC(S5), SK(S5), YT(S5)"
Agrostis scabra var. scabra,"AK(SNR), AL(SNR), AR(SNR), AZ(SNR), CA(SNR), CO(SNR), CT(SNR), DE(SNR), GA(S3?), IA(SNR), ID(SNR), IL(SNR), IN(SNR), LA(SNR), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(SNR), MT(SNR), NC(SNR), ND(SNR), NE(SNR), NH(SNR), NJ(SNR), NM(SNR), NV(SNR), OH(SNR), OR(SNR), PA(SNR), RI(SNR), SC(SNR), SD(SNR), TN(SNR), TX(SNR), UT(SNR), VA(S3?), VT(SNR), WA(SNR), WI(SNR), WV(SNR), WY(S5), AB(SNR), BC(SNR), LB(S3S5), MB(S5), NB(SNR), NF(S3S5), NS(SNR), NT(SNR), NU(SNR), ON(SNR), PE(SNR), QC(SNR), SK(S5), YT(SNR)"
Aletris farinosa,"AL(SNR), AR(SNR), CT(SNR), DC(SNR), DE(S3), GA(S5), GS(P2), IL(S3?), IN(SNR), KY(S3S4), LA(SNR), MA(SNR), MD(SNR), ME(SX), MI(SNR), MS(SNR), NC(S5), NH(SH), NJ(S4), NY(S2), OH(SNR), OK(S1S2), PA(S1), RI(S2), SC(SNR), TN(SNR), TX(SNR), VA(S5), WI(S4), WV(S3), ON(S2)"
Alisma plantago-aquatica,"IA(S4), IL(SNR), KY(SNR), MI(SNR), NC(S3), NJ(SNR), PA(SNR), NB(SNA)"
Alisma subcordatum,"AL(SNR), AR(SNR), AZ(SNR), CA(SNR), CT(SNR), DC(SNR), DE(S5), FL(SNR), GA(S4?), GS(P1), IA(SNR), IL(S5), IN(SNR), KS(SNR), KY(S4S5), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(SNR), MO(SNR), MS(S1?), NC(S3), ND(SNR), NE(SNR), NH(SNR), NJ(S5), NY(S5), OH(SNR), OK(SNR), PA(SNR), RI(SNR), SC(SNR), SD(SNR), TN(SNR), TV(SNR), TX(SNR), VA(S4S5), VT(SNR), WI(SNR), WV(S4), WY(S1), NB(S1), ON(S4?), QC(S3?), SK(S5?)"
Alisma triviale,"AR(SNR), AZ(SNR), CA(SNR), CO(SNR), CT(SNR), DE(SNR), GA(SU), IA(SNR), ID(SNR), IL(S2S3), IN(SNR), KS(SNR), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(SNR), MO(SNR), MT(S4), ND(SNR), NE(SNR), NH(SNR), NJ(S1), NM(SNR), NV(SNR), NY(S5), OH(S3), OR(SNR), PA(S1), RI(SNR), SD(SNR), UT(SNR), VT(SNR), WA(SNR), WI(SNR), WY(S3), AB(S4), BC(S5), MB(S5), NB(S5), NF(S1), NS(S5), NT(SNR), ON(S5), PE(S4S5), QC(S5), SK(S5), YT(S1)"
Allium burdickii,"GS(SNR), IA(SNR), IL(S3?), IN(SNR), KY(S3S4), ME(SNR), MI(SNR), MN(SNR), MO(S2), NC(SNR), ND(SNR), NE(S2), NH(SNR), NJ(SNR), NY(SH), OH(SNR), PA(SNR), SD(SNR), TN(S1S2), TV(SNR), VA(SU), VT(SNR), WI(SNR), WV(SNR), NS(S1?), ON(S1?), QC(SNR)"
Allium canadense,"AL(SNR), AR(SNR), CT(SNR), DC(SNR), DE(S4), FL(SNR), GA(S5), GS(P2), IA(SNR), IL(S5), IN(SNR), KS(SNR), KY(S4), LA(SNR), MA(SNR), MD(SNR), ME(S2), MI(SNR), MN(SNR), MO(SNR), MS(SNR), MT(SU), NC(S5), ND(S1), NE(SNR), NH(S1), NJ(SNR), NY(S5), OH(SNR), OK(SNR), PA(SNR), RI(SNR), SC(SNR), SD(SNR), TN(SNR), TX(SNR), VA(S5), VT(S1), WI(SNR), WV(S5), NB(S1), ON(S5), QC(S2)"
Allium canadense var. canadense,"AL(SNR), AR(SNR), CT(SNR), DE(S4), FL(SNR), GA(S4), IA(S5), IL(SNR), IN(SNR), KS(SNR), KY(S4), LA(SNR), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(SNR), MO(SNR), MS(SNR), NC(S5), ND(SNR), NE(SNR), NH(SNR), NJ(S4), NY(S5), OH(SNR), OK(SNR), PA(SNR), RI(SNR), SC(SNR), SD(SNR), TN(SNR), TX(SNR), VA(S5), VT(SNR), WI(SNR), WV(S5), NB(S1), ON(S5), QC(S2)"
Allium cernuum,"AL(SNR), AR(SH), AZ(SNR), CO(SNR), DC(SNR), GA(S3S4), IA(S3), ID(SNR), IL(S2S3), IN(SNR), KY(S3S4), MD(SNR), MI(SNR), MN(S2), MO(SNR), MS(SNR), MT(S5), NC(S4), NE(S2), NM(SNR), NN(SNR), NY(S2), OH(SNR), OR(SNR), PA(SNR), SC(S2), SD(SNR), TN(SNR), TX(SNR), UT(SNR), VA(S5), WA(SNR), WI(SNR), WV(S4), WY(S4), MXSO(SNR), AB(S5), BC(SNR), ON(S2), SK(S1S2)"
Allium cernuum var. cernuum,"AL(SNR), AR(SNR), CO(SNR), GA(S3S4), IA(SNR), ID(SNR), IL(SNR), IN(SNR), KY(S3S4), MD(SNR), MI(SNR), MN(SNR), MO(SNR), MS(SNR), MT(SNR), NC(SNR), NE(SNR), NY(S2), OH(SNR), OR(SNR), PA(SNR), SC(SNR), SD(SNR), TN(SNR), TX(SNR), UT(SNR), VA(SNR), WA(SNR), WI(SNR), WV(S4), WY(SNR), AB(SNR), BC(S5), MB(SNR), ON(S2), SK(SNR)"
Allium schoenoprasum,"AK(SNR), CO(S1), CT(SNR), ID(SNR), IL(SNA), IN(SNR), MA(SNR), MD(SNR), ME(SNA), MI(S2), MN(S2), MO(SNR), MT(S4), NH(S1), NJ(SU), NV(SNR), NY(SNA), OH(SNR), OR(SNR), PA(SNR), RI(SNA), UT(SNR), VA(SNR), VT(S1), WA(SNR), WI(SNR), WY(S4), AB(S4), BC(SNR), LB(SNR), MB(S4?), NB(S4), NF(SNR), NS(S2), NT(SNR), ON(S4), SK(S2), YT(S4)"
Allium schoenoprasum var. sibiricum,"AK(SNR), CO(S1), CT(SNR), IL(SNA), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(S2), MO(SNR), MT(SNR), NH(SNR), NJ(SNR), NY(SNR), OH(SNR), OR(SNR), PA(SNR), VA(SNR), VT(SNR), WA(SNR), WI(SNR), WY(S4), AB(SNR), BC(S4), LB(S2S3), MB(S4?), NB(S4), NF(S2S3), NS(S2), NT(SNR), ON(S4), QC(S4S5), SK(S2), YT(SNR)"
Allium tricoccum,"AL(S1), CT(SNR), DC(SNR), DE(S3), GA(S3?), GS(P3P4), IA(S4), IL(S3?), IN(SNR), KY(S4), MA(SNR), MD(SNR), ME(S3), MI(SNR), MN(SNR), MO(SNR), NC(S4), ND(SU), NE(SNR), NH(SNR), NJ(S4), NY(S5), OH(SNR), OK(SNR), PA(SNR), RI(S1), SD(SNR), TN(S1S2), TV(SNR), VA(S5), VT(SNR), WI(SNR), WV(S4), MB(S1), NB(S2), NS(S1), ON(S4), QC(SNR)"
Alnus incana,"AK(SNR), AZ(SNR), CA(SNR), CO(SNR), CT(SNR), IA(SNR), ID(SNR), IL(SNR), IN(SNR), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(SNR), MT(S4S5), ND(SNR), NH(SNR), NJ(SNR), NM(SNR), NN(SNR), NV(SNR), NY(SNR), OH(SNR), OR(SNR), PA(S5), RI(SNR), UT(SNR), VA(S2), VT(SNR), WA(SNR), WI(SNR), WV(S4), WY(S3), AB(S5), BC(SNR), LB(S4S5), MB(S5), NB(S5), NF(S4S5), NS(S5), NT(SNR), NU(SNR), ON(S5), PE(S5), QC(S5), SK(S5), YT(S5)"
Alnus incana ssp. rugosa,"CT(SNR), IA(S3), IL(S1), IN(S3), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(SNR), ND(SNR), NH(SNR), NJ(S3S4), NY(S5), OH(SNR), PA(SNR), RI(SNR), VA(S2), VT(SNR), WI(SNR), WV(S4), LB(S4S5), MB(S5), NB(S5), NF(S4S5), NS(S5), NU(SNR), ON(S5), PE(S5), QC(S5), SK(S5)"
Alnus serrulata,"AL(SNR), AR(SNR), CT(SNR), DC(SNR), DE(S5), FL(SNR), GA(S5), GS(P4), IL(S3?), IN(SNR), KS(SH), KY(S5), LA(SNR), MA(SNR), MD(SNR), ME(SNR), MO(SNR), MS(SNR), NC(S5), NH(SNR), NJ(S5), NY(S5), OH(SNR), OK(S4), PA(S5), RI(SNR), SC(SNR), TN(SNR), TX(SNR), VA(S5), VT(SNR), WV(S5), NB(S2), NS(S3), QC(S1)"
Alnus viridis,"AK(SNR), CA(SNR), ID(SNR), MA(SNR), ME(SNR), MI(SNR), MN(SNR), MT(S5), NC(S1), NH(SNR), NY(SNR), OR(SNR), PA(S1), TN(SNR), TV(SNR), VT(S3), WA(SNR), WI(SNR), WY(SNR), AB(S5), BC(SNR), LB(S5), MB(S5), NB(S5), NF(S5), NS(S5), NT(SNR), NU(SNR), ON(S5), PE(S5), QC(S5), SK(S5), YT(S5)"
Alnus viridis ssp. crispa,"AK(SNR), CA(SNR), MA(SNR), ME(SNR), MI(SNR), MN(SNR), NC(SNR), NH(SNR), NY(SNR), OR(SNR), PA(SNR), TN(SNR), TV(SNR), VT(SNR), WA(SNR), WI(SNR), WY(S1), AB(SNR), BC(S4), LB(SNR), MB(SNR), NB(SNR), NF(SNR), NS(SNR), NT(SNR), NU(SNR), ON(SNR), PE(SNR), QC(SNR), SK(SNR), YT(SNR)"
Alnus viridis ssp. crispa,"MA(S2), ME(SNR), MI(SNR), MN(SNR), NC(S1), NH(SNR), NY(S3), PA(SNR), TN(S1), TV(SNR), VT(SNR), WI(SNR), WY(SNR), AB(S4S5), LB(SNR), MB(S5), NB(S5), NF(SNR), NS(S5), NU(SNR), ON(S5), PE(S5), QC(S5), SK(S5)"
Alopecurus aequalis,"AK(SNR), AR(SNR), AZ(SNR), CA(SNR), CO(SNR), CT(S1), DE(S4), IA(S4), ID(SNR), IL(S3?), IN(SNR), KS(SH), KY(S1?), MA(SNR), ME(SNR), MI(SNR), MN(SNR), MO(S2), MT(S4?), ND(SNR), NE(SNR), NH(SNR), NJ(SNR), NM(SNR), NN(SNR), NV(SNR), NY(SNR), OH(SNR), OR(SNR), PA(S3), SD(SNR), TN(SNR), UT(SNR), VA(SNA), VT(S3), WA(SNR), WI(SNR), WV(S2), WY(S4), AB(S5), BC(S5), LB(S3S5), MB(S5), NB(S4S5), NF(S2), NS(S2S3), NT(SNR), ON(S5), PE(S1), SK(S5?), YT(S4)"
Alopecurus aequalis var. aequalis,"AK(SNR), AR(SNR), AZ(SNR), CA(SNR), CO(SNR), CT(SNA), DE(SNR), IA(SNR), ID(SNR), IL(SNR), IN(SNR), KS(SNR), KY(SNR), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(SNR), MO(SNR), MT(SNR), ND(SNR), NE(SNR), NH(SNR), NJ(S2), NM(SNR), NV(SNR), NY(S5), OH(SNR), OR(SNR), PA(SNR), SD(SNR), TN(SNR), UT(SNR), VA(SNA), VT(SNR), WA(SNR), WI(SNR), WV(S2), WY(SNR), AB(SNR), BC(SNR), LB(S3S5), MB(SNR), NB(S4S5), NF(S2), NS(S2S3), NT(SNR), ON(S5), PE(S1), QC(S4), SK(S5?), YT(S4)"
Alopecurus geniculatus,"AK(SNR), AZ(SNR), CA(SNR), CO(SNA), CT(SNA), DC(SNA), IA(SNR), ID(SNR), IL(SNR), MA(SNR), MD(SNR), ME(SNR), MI(SNA), MN(SNR), MT(SNA), ND(SNR), NH(SNR), NJ(SNR), NM(SNR), NV(SNR), NY(SNR), OH(SNR), OK(SNR), OR(SNR), PA(SNR), RI(SNA), SD(SNR), TX(SNR), UT(SNR), VA(SNA), VT(SNR), WA(SNR), WI(SNR), WV(SNR), WY(S2), AB(SNR), BC(SNA), LB(SNA), NB(SNA), NF(SNA), NS(SNA), ON(SNA), PE(SNA), QC(SNA), SK(SNA), YT(SNA)"
Amaranthus cannabinus,"CT(SNR), DC(SNR), DE(S5), FL(SNR), GA(SU), LA(SNR), MA(SNR), MD(SNR), ME(SNR), NC(S4?), NH(SNR), NJ(S4), NY(S5), PA(S3), RI(SNR), SC(SNR), VA(S5), VT(SU)"
Ambrosia artemisiifolia,"AL(SNR), AR(SNR), AZ(SNR), CA(SNR), CO(SNR), CT(SNR), DC(S5), DE(S5), FL(SNR), GA(S5), GS(P4), HI(SNA), IA(S5), ID(SNR), IL(SNR), IN(SNR), KS(SNR), KY(S5), LA(SNR), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(SNR), MO(SNR), MS(SNR), MT(S4?), NC(S5), ND(SNR), NE(SNR), NH(SNR), NJ(SNR), NM(SNR), NV(SNR), NY(S5), OH(SNR), OK(SNR), OR(SNR), PA(SNR), RI(SNR), SC(SNR), SD(SNR), TN(SNR), TX(SNR), UT(SNR), VA(S5), VT(SNR), WA(SNR), WI(SNR), WV(S5), WY(S3), MXSO(SNR), AB(S3), BC(SNA), MB(S5), NB(S5), NF(SNA), NS(S5), NT(SNR), ON(S5), PE(S5), QC(SNA), SK(S5)"
Ambrosia artemisiifolia var. artemisiifolia,"CT(SNR), DC(SNR), GA(S5), IL(SNR), MA(SNR), MD(SNR), ME(SNR), MN(SNR), MO(SNR), MS(SNR), NH(SNR), NJ(S5), NY(SNR), PA(SNR), TN(SNR), VA(S5?), VT(SNR), NS(S5), ON(SNR), PE(S5), QC(SNA)"
Ambrosia artemisiifolia var. elatior,"AR(SNR), AZ(SNR), CA(SNR), CO(SNA), CT(SNR), DE(SNR), FL(SNR), HI(SNR), IA(SNR), ID(SNR), IL(SNR), IN(SNR), KS(SNR), KY(SNR), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(SNR), MO(SNR), MS(SNR), MT(SNR), NC(SNR), ND(SNR), NE(SNR), NH(SNR), NJ(S4), NM(SNR), NV(SNR), OH(SNR), OK(SNR), OR(SNR), PA(SNR), RI(SNR), SD(SNR), TN(SNR), TX(SNR), UT(SNR), VA(S5?), VT(SNR), WA(SNR), WI(SNR), WV(S5), WY(SNR), AB(SNR), BC(SNR), MB(S5), NB(S5), NS(S5), NT(SNR), ON(SNR), PE(SNR), QC(SNA), SK(S5)"
Ambrosia coronopifolia,"AL(SNR), CO(SNR), CT(SNR), FL(SNR), GA(SU), IA(SNR), ID(SNR), IL(SNR), IN(SNR), MA(SNR), ME(SNR), MI(SNR), MN(SNR), MT(SNR), NC(SNR), NH(SNR), NY(SNA), OH(SNR), OK(SNR), PA(SNR), SD(SNR), TN(SNR), TX(SNR), UT(SNR), VT(SNR), WI(SNR), AB(SNR), BC(SNR), MB(SNR), NS(SNA), PE(SNA), QC(SNR), SK(SNA)"
Ambrosia trifida,"AL(SNR), AR(SNR), AZ(SNR), CA(SNR), CO(SNA), CT(SNR), DC(S5), DE(S5), FL(SNR), GA(S4?), GS(P3?), IA(S5), ID(SNR), IL(SNR), IN(SNR), KS(SNR), KY(S5), LA(SNR), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(SNR), MO(SNR), MS(SNR), MT(SNA), NC(S5), ND(SNR), NE(SNR), NH(SNR), NJ(SNR), NM(SNR), NY(SNR), OH(SNR), OK(SNR), OR(SNR), PA(SNR), RI(SNR), SC(SNR), SD(SNR), TN(SNR), TX(SNR), UT(SNR), VA(S5), VT(SNR), WA(SNR), WI(SNR), WV(S5), WY(S3), MXSO(SNR), AB(SNA), BC(SNR), MB(S4), NB(SNA), NS(SNA), ON(S5), PE(SNA), QC(SNA), SK(SNA)"
Ambrosia trifida var. trifida,"AL(SNR), AR(SNR), AZ(SNR), CA(SNR), CO(SNA), CT(SNR), DE(SNR), FL(SNR), GA(S4?), IA(SNR), ID(SNR), IL(SNR), IN(SNR), KS(SNR), KY(S5), LA(SNR), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(SNR), MO(SNR), MS(SNR), MT(SNR), NC(SNR), ND(SNR), NE(SNR), NH(SNR), NJ(S5), NM(SNR), NY(S4), OH(SNR), OK(SNR), OR(SNR), PA(SNR), RI(SNR), SC(SNR), SD(SNR), TN(SNR), TX(SNR), UT(SNR), VA(SNR), VT(SNR), WA(SNR), WI(SNR), WV(S5), WY(SNR), AB(SNR), BC(SNR), MB(S4), NB(SNA), NS(SNA), ON(SNR), PE(SNA), QC(SNA), SK(SNA)"
Amelanchier arborea,"AL(S1?), AR(SNR), CT(SNR), DC(SNR), DE(S5), FL(SNR), GA(S5?), GS(P3), IA(S4), IL(SNR), IN(SNR), KS(SNR), KY(S5), LA(SNR), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(SNR), MO(SNR), MS(SNR), NC(S5), NE(S4), NH(SNR), NJ(SNR), NY(S5), OH(SNR), OK(SNR), PA(S5), RI(SNR), SC(SNR), TN(SNR), TV(SNR), TX(SNR), VA(S5), VT(SNR), WI(SNR), WV(S5), NB(S4?), NS(S4S5), ON(S5), QC(SNR)"
Amelanchier arborea var. arborea,"AL(SNR), AR(SNR), CT(SNR), DE(SNR), FL(SNR), GA(S5?), IA(SNR), IN(SNR), KS(SNR), KY(SNR), LA(SNR), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(SNR), MO(SNR), MS(SNR), NC(SNR), NE(SNR), NH(SNR), NJ(S5), NY(SNR), OH(SNR), OK(SNR), PA(SNR), RI(SNR), SC(SNR), TN(SNR), TX(SNR), VA(S5), VT(SNR), WI(SNR), WV(S5), NB(S4?), NS(S4S5), ON(SNR), QC(SNR)"
Amelanchier bartramiana,"MA(S2), ME(SNR), MI(SNR), MN(SNR), NH(SNR), NY(S4), PA(S1), VT(SNR), WI(SNR), WV(S1), LB(S3S5), MB(SNR), NB(S5), NF(S5), NS(S5), NU(SNR), ON(S5), PE(S4), QC(S4S5)"
Amelanchier canadensis,"CT(SNR), DC(SNR), DE(S5), FL(SNR), GA(S3?), GS(PNR), IA(SNR), LA(SNR), MA(SNR), MD(SNR), ME(SNR), NC(S4), NH(SNR), NJ(S4), NY(S5), PA(S1), RI(SNR), SC(SNR), TN(SNR), VA(S5), VT(SH), WV(SNR), NB(S3), NS(S4?), PE(S1?), QC(S3?)"
Amelanchier humilis,"IA(S3), IL(SNR), IN(S1), KS(S1), MD(S1), ME(S4), MN(SNR), MO(SNR), MT(SU), ND(SNR), NE(S2S4), NJ(S1S2), NY(S4), PA(S1), SC(SNR), SD(SNR), VT(SNR), WI(SNR), MB(SU), NB(S5), ON(S4S5), QC(SNR), SK(SNR)"
Amelanchier laevis,"AL(SNR), CT(SNR), DC(S5), GA(S3?), GS(P4), IA(SNR), IL(SNR), IN(SNR), KY(S3S4), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(SNR), NC(S3), NH(SNR), NJ(S4), NY(S5), OH(SNR), PA(S5), RI(SNR), SC(SNR), TN(SNR), VA(S4), VT(SNR), WI(SNR), WV(S4), NB(S5), NF(S3S5), NS(S5), ON(S5), PE(S3?), QC(S4S5)"
Amelanchier obovalis,"AL(SNR), DE(SH), GA(S1?), MA(SNR), MD(S4), NC(S4), NJ(S4), PA(S1), SC(SNR), VA(SU)"
Amelanchier sanguinea,"GA(S1?), GS(P1), IA(S3), IL(S1), KS(SU), MA(S3), MD(S1), ME(S4), MI(SNR), MN(SNR), MO(SNR), NC(S3), NE(SNR), NH(SNR), NJ(SNR), NY(S5), OH(S3), PA(S2), TN(S2), TV(SNR), VA(S3), VT(SNR), WI(SNR), WV(S4), MB(SU), NB(S4S5), ON(S5?), QC(S4S5)"
Amelanchier sanguinea var. sanguinea,"CT(SNR), GA(S1?), IA(SNR), KS(SU), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(SNR), NC(S1), NE(SNR), NH(SNR), NJ(S1.1), NY(SNR), OH(SNR), PA(SNR), TN(SNR), VA(S3), VT(SNR), WI(SNR), WV(S4), NB(S4S5), ON(S5?), QC(SNR)"
Amelanchier stolonifera,"AL(SNR), CT(SNR), DC(S1), DE(SU), GA(SU), GS(P1), IA(SNR), IL(SNR), IN(SNR), MA(SNR), MD(S2), ME(SNR), MI(SNR), MN(SNR), MO(SNR), NC(S2S3), ND(SNR), NH(SNR), NJ(S3), NY(S5), OH(SNR), PA(SNR), RI(SNR), SC(SNR), SD(SNR), TN(S1), TV(SNR), VA(S4), VT(SNR), WI(SNR), WV(S4), MB(SU), NB(S5), NF(SNR), NS(S3?), ON(S4?), PE(S1?), QC(S4S5)"
Amelanchier intermedia,"CT(SNA), MD(SNA), ME(SNA), MI(SNA), MN(SNA), NC(SNA), NJ(SNA), NY(SNA), PA(SNR), VT(SNA), NB(SNA), NF(SNA), NS(SNA), ON(SU), PE(SNA), QC(SNA)"
Amianthium muscaetoxicum,"AL(SNR), AR(SNR), DE(S2), FL(SNR), GA(S4), GS(P2), KY(S1), LA(SH), MD(S2?), MO(S4), MS(SNR), NC(S4), NJ(S2), NY(SX), OK(S1), PA(SNR), SC(SNR), TN(SNR), TV(SNR), VA(S5), WV(S3)"
Ammannia coccinea,"AL(SNR), AR(SNR), AZ(SNR), CA(SNR), DC(S1), DE(SNA), FL(SNR), GA(S4), GS(P1), HI(SNA), IA(S4), IL(SNR), IN(SNR), KS(SNR), KY(S4?), LA(SNR), MD(SU), MN(SNR), MO(SNR), MS(SNR), MT(SU), NC(S2?), NE(SNR), NJ(SNA), NM(SNR), OH(SNR), OK(SNR), PA(S2), SC(SNR), SD(SNR), TN(SNR), TX(SNR), VA(S3S4), WI(SNR), WV(S2)"
Ammophila breviligulata,"CA(SNA), CT(SNR), DE(S5), IL(S1), IN(S3), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(S2), NC(S3), NH(S2), NJ(S4), NY(S5), OH(S2), PA(S2), RI(SNR), SC(SNR), VA(S5), VT(SNA), WI(SNR), BC(SNA), LB(S1S2), NB(S5), NF(S3), NS(S5), ON(S4), PE(S5), QC(S4)"
Amorpha fruticosa,"AL(SNR), AR(SNR), AZ(SNR), CA(SNR), CO(SNR), CT(SNR), DC(SNR), DE(S4), FL(SNR), GA(S5), GS(P2P3), IA(S5), ID(SNR), IL(SNR), IN(SNR), KS(SNR), KY(S4), LA(SNR), MA(SNR), MD(SNR), ME(SNA), MI(SNA), MN(SNR), MO(SNR), MS(SNR), NC(S3S4), ND(SNR), NE(SNR), NH(SNR), NJ(SNA), NM(SNR), NN(SNR), NY(SNR), OH(SNR), OK(S5), OR(SNR), PA(SNR), RI(SNR), SC(SNR), SD(SNR), TN(SNR), TX(SNR), UT(SNR), VA(S3S4), VT(SNR), WA(SNR), WI(SNR), WV(S2), WY(S2), MB(S1S2), NB(SNA), ON(SNA), QC(SNA)"
Amphiachyris dracunculoides,"AL(SNR), AR(SNR), IA(SNR), IL(SNR), IN(SNR), KS(SNR), KY(SNR), LA(SNR), MO(SNR), MS(SNA), NE(SNR), NM(SNR), OH(SNR), OK(SNR), PA(SNR), TN(SNR), TV(SNR), TX(SNR)"
Amphicarpaea bracteata,"AL(SNR), AR(SNR), CT(SNR), DC(SNR), DE(S5), FL(SNR), GA(S4?), GS(P5), IA(S5), IL(SNR), IN(SNR), KS(SNR), KY(S5), LA(SNR), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(SNR), MO(SNR), MS(SNR), MT(SNR), NC(S5), ND(SNR), NE(SNR), NH(SNR), NJ(SNR), NY(S5), OH(SNR), OK(SNR), PA(SNR), RI(SNR), SC(SNR), SD(SNR), TN(SNR), TX(SNR), VA(S5), VT(SNR), WI(SNR), WV(S5), WY(S1), MB(S4), NB(S4S5), NS(S4), ON(S5), QC(S5)"
Amphicarpaea bracteata var. bracteata,"AL(SNR), AR(SNR), CT(SNR), DC(SNR), DE(S4), FL(SNR), GA(SNR), IA(SNR), IL(SNR), IN(SNR), KS(S2), KY(SNR), LA(SNR), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(SNR), MO(SNR), NC(SNR), ND(SNR), NH(SNR), NJ(S5), NY(SNR), OH(SNR), OK(SNR), PA(SNR), RI(SNR), SC(SNR), SD(SNR), TN(SNR), TX(SNR), VA(SNR), VT(SNR), WI(SNR), WV(SNR), NB(S4S5), NS(S4), ON(SNR), QC(SNR)"
Amphicarpaea bracteata var. comosa,"AR(SNR), CT(SNR), DE(S4), GA(SNR), IA(SNR), IL(SNR), IN(SNR), KS(SNR), KY(S4?), LA(SNR), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(SNR), MO(SNR), MS(SNR), MT(SNR), NC(SNR), ND(SNR), NE(SNR), NH(SH), NJ(S4), NY(SNR), OH(SNR), PA(SNR), RI(SNR), SC(SNR), TN(SNR), TX(SNR), VA(SNR), VT(SNR), WI(SNR), WV(SNR), MB(SNR), ON(SNR), QC(SNR)"
Amsinckia intermedia,"AZ(SNR), CA(SNR), HI(SNA), ID(SNR), MA(SNR), ND(SNR), NE(SNR), NM(SNR), NV(SNR), NY(SNR), OR(SNR), PA(SNR), TX(S1), UT(S2?), WA(SNR), MXSO(SNR), BC(S4)"
Amsonia tabernaemontana,"AL(SNR), AR(SNR), DE(SNA), FL(SNR), GA(S5), GS(P1), IL(SNR), IN(SNR), KS(S1), KY(S4?), LA(SNR), MA(SNR), MD(SNR), MO(SNR), MS(SNR), NC(S5), NJ(SNR), NY(SNA), OH(SNR), OK(SNR), PA(SNR), SC(SNR), TN(S3S4), TV(SNR), TX(SNR), VA(S3)"
Amsonia tabernaemontana var. tabernaemontana,"AL(SNR), AR(SNR), FL(SNR), GA(S5), IL(SNR), KS(SNR), KY(SNR), LA(SNR), MA(SNR), MO(SNR), MS(SNR), NC(S4S5), NJ(SNA), NY(SNR), OK(SNR), PA(SNR), SC(SNR), TN(SNR), TX(SNR), VA(S3)"
Anaphalis margaritacea,"AK(SNR), AZ(SNR), CA(SNR), CO(SNR), CT(SNR), DE(SH), IA(S1), ID(SNR), IL(SNR), IN(SNR), KS(SNR), KY(SNA), MA(SNR), MD(S3), ME(SNR), MI(SNR), MN(SNR), MO(SNR), MT(S5), NC(SNA), NE(S1), NH(SNR), NJ(S5), NM(SNR), NN(SNR), NV(SNR), NY(S5), OH(SNR), OR(SNR), PA(SNR), RI(SNR), SD(SNR), TN(SNR), UT(SNR), VA(S1), VT(SNR), WA(SNR), WI(SNR), WV(S4), WY(S4), AB(S4), BC(S5), LB(S4S5), MB(S4), NB(S5), NF(S5), NS(S5), NT(SNR), ON(S5), PE(S5), QC(S5), SK(S2), YT(S1)"
Andromeda polifolia,"AK(SNR), CT(S3S4), ID(S1), IL(SNR), IN(SNR), MA(SNR), ME(SNR), MI(SNR), MN(SNR), NH(SNR), NJ(SNR), NY(SNR), OH(SNR), PA(S3), RI(SNR), VT(SNR), WA(SNR), WI(SNR), WV(S1), AB(S5), BC(S4), LB(S4S5), MB(S5), NB(S5), NF(S5), NS(S5), NT(SNR), NU(SNR), ON(S5), PE(S2), QC(S3S4), SK(S5), YT(S5)"
